endereco,preco,metragem,quartos,vaga,lat,lng,distancia_metro_km
"QN 305, SAMAMBAIA SUL, SAMAMBAIA",250000.0,48,2,1,-15.8805274,-48.0744723,1.5815816168983106
"QN 312, SAMAMBAIA SUL, SAMAMBAIA",250000.0,48,2,1,-15.8680685,-48.0841972,2.7087148680407465
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,60,2,1,-15.869041,-48.0715822,1.4223841806760131
QR 403 CONJUNTO 5,250000.0,49,2,1,-15.8778503,-48.0970077,3.829936348287109
QR 404 CONJUNTO 13,249999.0,45,2,1,-15.8642956,-48.0857681,2.971659553112033
"QR 310, SAMAMBAIA SUL, SAMAMBAIA",249900.0,51,2,0,-15.8630378,-48.0834912,2.7208052371896208
QN 404,249000.0,45,2,1,-15.8791823,-48.0054652,5.865526999766807
QN 402,249000.0,55,2,1,-15.8791823,-48.0054652,5.865526999766807
QN 404,249000.0,47,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 304, SAMAMBAIA SUL, SAMAMBAIA",247000.0,48,2,1,-15.8680685,-48.0841972,2.7087148680407465
"QR 408, SAMAMBAIA NORTE, SAMAMBAIA",247000.0,55,2,1,-15.864582,-48.0882041,3.23422634878997
QN 403,245000.0,48,2,1,-15.8791823,-48.0054652,5.865526999766807
QN 210,240000.0,56,2,1,-15.8791823,-48.0054652,5.865526999766807
"QN 406, SAMAMBAIA NORTE, SAMAMBAIA",240000.0,52,2,1,-15.8662048,-48.0928303,3.6532964180534817
QR 410 CONJUNTO 15,240000.0,57,2,1,-15.8834273,-48.0932545,3.263063533495238
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",239000.0,27,1,1,-15.869041,-48.0715822,1.4223841806760131
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",237000.0,60,2,1,-15.8662048,-48.0928303,3.6532964180534817
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",236459.0,27,1,0,-15.869041,-48.0715822,1.4223841806760131
"QR 402 CONJUNTO 2, SAMAMBAIA NORTE, SAMAMBAIA",235000.0,52,2,1,-15.8678927,-48.0874381,3.04658518026925
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",235000.0,50,2,1,-15.8630378,-48.0834912,2.7208052371896208
"QR 406, SAMAMBAIA NORTE, SAMAMBAIA",235000.0,50,2,1,-15.864582,-48.0882041,3.23422634878997
"QN 408, SAMAMBAIA NORTE, SAMAMBAIA",235000.0,52,2,0,-15.8662048,-48.0928303,3.6532964180534817
"QR 403, SAMAMBAIA NORTE, SAMAMBAIA",230000.0,50,2,1,-15.8702548,-48.0970997,4.0050157551506285
"QN 312, SAMAMBAIA SUL, SAMAMBAIA",230000.0,43,1,1,-15.8680685,-48.0841972,2.7087148680407465
QN 321,230000.0,45,2,1,-15.8791823,-48.0054652,5.865526999766807
"QR 321, SAMAMBAIA SUL, SAMAMBAIA",230000.0,44,2,1,-15.8630378,-48.0834912,2.7208052371896208
"QR 412, SAMAMBAIA NORTE, SAMAMBAIA",230000.0,64,2,0,-15.864582,-48.0882041,3.23422634878997
"QR 321, SAMAMBAIA SUL, SAMAMBAIA",230000.0,45,2,1,-15.8630378,-48.0834912,2.7208052371896208
QN 402,230000.0,52,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 406 CONJUNTO 9,230000.0,52,2,1,-15.8619249,-48.0820175,2.5620794461989607
QR 503 CONJUNTO 9,229900.0,48,2,1,-15.8827657,-48.0937309,3.3300716249145985
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",228540.0,57,2,0,-15.8662048,-48.0928303,3.6532964180534817
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",220000.0,30,1,1,-15.8662048,-48.0928303,3.6532964180534817
QN 321,219900.0,48,2,1,-15.8791823,-48.0054652,5.865526999766807
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",219000.0,48,2,1,-15.8630378,-48.0834912,2.7208052371896208
QN 321,219000.0,44,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 116 CONJUNTO 4,215000.0,33,1,1,-15.881569,-48.0932257,3.3133980575138686
"QN 501, SAMAMBAIA SUL, SAMAMBAIA",214900.0,41,2,0,-15.8805274,-48.0744723,1.5815816168983106
QN 321,214000.0,47,2,1,-15.8791823,-48.0054652,5.865526999766807
QR 403 CONJUNTO 5,213000.0,51,2,1,-15.8778503,-48.0970077,3.829936348287109
"QR 122, SAMAMBAIA SUL, SAMAMBAIA",210073.0,33,1,0,-15.8694487,-48.059085,0.6783876851448581
QR 408 CONJUNTO 15,210000.0,33,1,1,-15.8834273,-48.0932545,3.263063533495238
QN 407,210000.0,32,1,1,-15.8791823,-48.0054652,5.865526999766807
"QR 122, SAMAMBAIA SUL, SAMAMBAIA",209000.0,32,1,0,-15.8694487,-48.059085,0.6783876851448581
"QR 408, SAMAMBAIA NORTE, SAMAMBAIA",198000.0,31,1,1,-15.864582,-48.0882041,3.23422634878997
QR 122 CONJUNTO 1,197255.0,32,1,0,-15.9965849,-47.9909878,14.107665309735072
QR 408 CONJUNTO 15,195000.0,32,1,1,-15.8834273,-48.0932545,3.263063533495238
"QR 303, SAMAMBAIA SUL, SAMAMBAIA",195000.0,48,2,0,-15.8818507,-48.0908091,3.056917656006673
QN 412,195000.0,43,1,0,-15.8791823,-48.0054652,5.865526999766807
QN 303 CONJUNTO 2,193000.0,27,1,0,-15.881003,-48.0190026,4.443413156224787
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",190000.0,30,1,1,-15.8662048,-48.0928303,3.6532964180534817
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",190000.0,43,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QR 408, SAMAMBAIA NORTE, SAMAMBAIA",190000.0,33,1,1,-15.864582,-48.0882041,3.23422634878997
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",184999.0,32,1,1,-15.8662048,-48.0928303,3.6532964180534817
QN 412,180000.0,35,1,0,-15.8791823,-48.0054652,5.865526999766807
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",180000.0,30,1,0,-15.8630378,-48.0834912,2.7208052371896208
QN 412,180000.0,30,1,0,-15.8791823,-48.0054652,5.865526999766807
QN 614,179999.0,30,1,0,-15.8791823,-48.0054652,5.865526999766807
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",175000.0,31,1,1,-15.8630378,-48.0834912,2.7208052371896208
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",172000.0,29,1,0,-15.8662048,-48.0928303,3.6532964180534817
QN 408,170000.0,30,1,1,-15.8791823,-48.0054652,5.865526999766807
QR 406 CONJUNTO 9,170000.0,51,2,0,-15.8619249,-48.0820175,2.5620794461989607
QN 412,170000.0,31,1,0,-15.8791823,-48.0054652,5.865526999766807
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",170000.0,30,1,0,-15.8662048,-48.0928303,3.6532964180534817
"QR 106, SAMAMBAIA SUL, SAMAMBAIA",170000.0,64,3,1,-15.8630378,-48.0834912,2.7208052371896208
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",170000.0,50,1,1,-15.8630378,-48.0834912,2.7208052371896208
"QR 320, SAMAMBAIA SUL, SAMAMBAIA",170000.0,31,1,0,-15.8630378,-48.0834912,2.7208052371896208
QN 401,170000.0,30,1,1,-15.8791823,-48.0054652,5.865526999766807
QN 401,169900.0,30,1,1,-15.8791823,-48.0054652,5.865526999766807
QN 401,167900.0,30,1,1,-15.8791823,-48.0054652,5.865526999766807
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",165000.0,42,1,0,-15.8662048,-48.0928303,3.6532964180534817
QN 412,165000.0,30,1,0,-15.8791823,-48.0054652,5.865526999766807
QR 312 CONJUNTO 4,160000.0,36,1,0,-15.881569,-48.0932257,3.3133980575138686
QN 401,160000.0,30,1,0,-15.8791823,-48.0054652,5.865526999766807
"QR 110 CONJUNTO 12, SAMAMBAIA SUL, SAMAMBAIA",160000.0,90,2,0,-15.8648828,-48.0579356,0.28634755880897245
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",159000.0,45,2,0,-15.8680685,-48.0841972,2.7087148680407465
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",159000.0,43,2,0,-15.8680685,-48.0841972,2.7087148680407465
QR 116 CONJUNTO 4,159000.0,28,1,0,-15.881569,-48.0932257,3.3133980575138686
QN 401,155000.0,33,1,1,-15.8791823,-48.0054652,5.865526999766807
"QR 614, SAMAMBAIA NORTE, SAMAMBAIA",155000.0,31,1,0,-15.8798875,-48.1032409,4.396053937850264
"QR 425, SAMAMBAIA NORTE, SAMAMBAIA",150000.0,33,2,0,-15.864582,-48.0882041,3.23422634878997
"QR 425, SAMAMBAIA NORTE, SAMAMBAIA",145000.0,33,1,0,-15.864582,-48.0882041,3.23422634878997
"QR 312, SAMAMBAIA SUL, SAMAMBAIA",145000.0,33,1,0,-15.8630378,-48.0834912,2.7208052371896208
QN 614,135000.0,29,1,0,-15.8791823,-48.0054652,5.865526999766807
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",130000.0,30,1,0,-15.8662048,-48.0928303,3.6532964180534817
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",126000.0,22,1,1,-15.8662048,-48.0928303,3.6532964180534817
