endereco,preco,metragem,quartos,vaga
"QN 402, SAMAMBAIA NORTE, SAMAMBAIA",278000.0,57,2,1
"QR 311, SAMAMBAIA SUL, SAMAMBAIA",275000.0,48,2,1
"QR 406, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,59,3,1
"QR 612 CONJUNTO 6, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,58,2,1
QN 402,275000.0,50,2,1
"QN 403, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,48,2,1
"QN 403, SAMAMBAIA NORTE, SAMAMBAIA",275000.0,34,1,1
"QR 307, SAMAMBAIA SUL, SAMAMBAIA",274735.0,44,2,0
"QN 307, SAMAMBAIA SUL, SAMAMBAIA",274735.0,44,2,0
"QN 501 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",274284.0,40,1,1
"QN 116 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",274000.0,0,1,0
"QR 402 CONJUNTO 10, SAMAMBAIA NORTE, SAMAMBAIA",271000.0,47,2,0
"QN 307 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",271000.0,47,2,0
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",271000.0,47,2,0
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",270072.0,45,2,0
"QN 303 CONJUNTO 3, SAMAMBAIA SUL, SAMAMBAIA",270000.0,48,2,1
QN 404,270000.0,43,2,1
"QR 118, SAMAMBAIA SUL, SAMAMBAIA",270000.0,45,2,0
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",270000.0,58,2,1
"QR 208 CONJUNTO 6, SAMAMBAIA NORTE, SAMAMBAIA",270000.0,68,3,1
QN 407,270000.0,41,2,0
"QR 407 CONJUNTO 13, SAMAMBAIA NORTE, SAMAMBAIA",270000.0,30,1,0
QR 612 CONJUNTO 8,269000.0,58,2,1
QR 406 CONJUNTO 21,269000.0,58,2,1
QR 412 CONJUNTO 17,265000.0,57,2,1
"QN 508 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",265000.0,41,1,1
QR 604 CONJUNTO 6,265000.0,57,2,1
"QN 122, SAMAMBAIA SUL, SAMAMBAIA",265000.0,34,1,1
QN 103,265000.0,55,2,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",265000.0,50,2,1
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",265000.0,47,2,1
"QN 414, SAMAMBAIA NORTE, SAMAMBAIA",265000.0,50,2,1
"QN 217, SAMAMBAIA NORTE, SAMAMBAIA",263990.0,45,2,1
"QN 501 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",263802.0,40,2,1
QR 604 CONJUNTO 6,263000.0,58,2,1
"QN 501 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",260263.0,40,1,1
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",260000.0,55,2,1
"QR 402, SAMAMBAIA NORTE, SAMAMBAIA",260000.0,53,2,1
QR 403 CONJUNTO 5,260000.0,51,2,1
"QR 108, SAMAMBAIA SUL, SAMAMBAIA",260000.0,62,2,1
QN 403,260000.0,48,2,1
"QN 303 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",260000.0,50,2,1
QR 406 CONJUNTO 21,259000.0,60,3,1
"QN 320 CONJUNTO 4, SAMAMBAIA SUL, SAMAMBAIA",259000.0,51,2,1
"QR 411, SAMAMBAIA NORTE, SAMAMBAIA",258900.0,45,2,1
QN 325,258040.0,53,2,1
QR 412 CONJUNTO 17,258000.0,57,2,1
QN 321,255000.0,61,2,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",255000.0,50,2,1
"QR 405, SAMAMBAIA NORTE, SAMAMBAIA",255000.0,45,2,1
"QN 320, SAMAMBAIA SUL, SAMAMBAIA",255000.0,54,2,1
QN 404,255000.0,48,2,1
QR 410 CONJUNTO 15,255000.0,58,2,1
"QR 311 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",253348.0,51,2,1
"QN 210, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,60,2,1
"QR 406, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,50,2,1
"QN 305, SAMAMBAIA SUL, SAMAMBAIA",250000.0,48,2,1
"QR 411 CONJUNTO 1, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,51,2,1
"QN 120 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",250000.0,45,2,1
"QN 312 CONJUNTO 5, SAMAMBAIA SUL, SAMAMBAIA",250000.0,48,2,1
"QN 312, SAMAMBAIA SUL, SAMAMBAIA",250000.0,48,2,1
"QR 210, SAMAMBAIA NORTE, SAMAMBAIA",250000.0,60,2,1
"QN 304 CONJUNTO 5, SAMAMBAIA SUL, SAMAMBAIA",250000.0,48,2,1
QR 403 CONJUNTO 5,250000.0,49,2,1
QR 404 CONJUNTO 13,249999.0,45,2,1
"QR 310, SAMAMBAIA SUL, SAMAMBAIA",249900.0,51,2,0
QN 404,249000.0,45,2,1
QN 402,249000.0,55,2,1
QN 404,249000.0,47,2,1
"QN 304, SAMAMBAIA SUL, SAMAMBAIA",247000.0,48,2,1
"QR 408, SAMAMBAIA NORTE, SAMAMBAIA",247000.0,55,2,1
QN 403,245000.0,48,2,1
"QR 501 CONJUNTO 13, SAMAMBAIA SUL, SAMAMBAIA",245000.0,41,2,0
